Aber ich glaube, sie ist eine Freundin von Frau Fischer. (7)	Но я думаю, она подруга госпожи Фишер. 
Gut! Ich frage sie... (8)	Хорошо (ладно)! Я ее спрошу ...
(Fortsetzung folgt)	(Продолжение следует)
	
@!NEUNTE LEKTION
NEUNTE LEKTION	ДЕВЯТЫЙ УРОК
Ein Fest (Fortsetzung)	ПРАЗДНИК (продолжение)
Guten Abend! Tanzen Sie nicht gern? 	Добрый вечер! Вы не любите танцевать? (Вы танцуете неохотно! без охоты?
Doch, sehr gern. Aber ich kenne niemand hier. (1)	Что вы (конечно, нет), очень люблю (очень охотно). Но я никого здесь не знаю (ни с кем не знакома).
Ach so. Darf ich mich vorstellen? (2) 	Ах, так (ах, вот что). Можно, я представл- юсь? 
Mein Name ist Klaus Frisch.	(Могу я представиться?) Мое имя Клаус Фриш.
Ich bin ein Kollege von Herrn Fischer.	Я коллега господина Фишера.
Ich heiße Elisabeth. Frau Fischer ist meine Schwester. (5)	Меня зовут Элизабет. Госпожа Фишер - моя сестра.
Ihre Schwester? Das ist nicht möglich! (6)	Ваша сестра? Это невозможно!
Warum nicht?	Почему? (Почему нет?)
Sie sind groß, blond und schlank und (7)	Вы высокого роста (высоки), белокуры и худощавы, и (а)
Ihre Schwester ist klein, dunkel und ... mh... nicht so schlank.	ваша сестра низкоросла, смугла и ... мм не так (уж) худа.
Das ist ganz einfach. Mein Vater ist groß, dick und dunkel,	Это совсем просто. Мой отец высокоросл, толст и темноволос,
 und meine Mutter klein, blond und dünn.	 а моя мать невелика ростом, светловолоса и худощава.
	
@!ZEHNTE LEKTION
ZEHNTE LEKTION	ДЕСЯТЫЙ УРОК
Eine Überraschung	СЮРПРИЗ
Was machst du heute abend, Peter?	Что ты делаешь сегодня вечером, Петер?
Ich weiß noch nicht. Ich habe Zeit. (1)	Я еще не знаю. У меня есть время (я свободен).
Meine Freundin kommt nicht. Ihre Mutter ist krank.	Моя подруга не придет. Ее мать больна. 
Gehen wir ins Kino! Meine Freundin kommt auch nicht.	Пойдем в кино! Моя подруга тоже не придет.
Sie hat zuviel Arbeit. (2)	У нее слишком много работы. 
Vielleicht hat Helmut auch Zeit. (3) Seine Frau ist nicht da.	Возможно, Хельмут тоже свободен. Его жена отсутствует (его жены нет здесь, его жена в отъезде).
Prima! Wir sind alle frei. (4) Treffen wir uns um acht Uhr! (5)	Великолепно! Мы все свободны. Встречаемся в восемь часов!
Um acht Uhr im Kino:	В восемь часов в кино:
Schau 'mal, Peter! Ist das nicht deine Freundin dort? (6)	Посмотрите-ка, Петер! (Разве) не твоя подруга вон там?
Mensch, ja! Und deine Freundin und Helmuts Frau auch!	Ей-богу, да! И твоя подруга, и жена Хельмута тоже!
Na sowas! Das ist ja eine Überraschung!	Вот это да! Вот это (уже) сюрприз!
	
@!ELFTE LEKTION
ELFTE LEKTION	ОДИННАДЦАТЫЙ УРОК
Eine Begegnung	ВСТРЕЧА
Was machen Sie denn hier? Sind Sie verrückt? (2)	Что (это) вы здесь делаете? Вы (что), сумасшедший?
Warum? Ich möchte nur schlafen!	Почему? Я только хочу спать.
Ja, aber das ist meine Garage. Woher kommen Sie? (3)	Да, но это мой гараж. Откуда вы взялись (пришли),
Ich komme aus Frankreich, aus England, aus Asien, aus Südamerika. (4)(5)	Я прибыл из Франции, Англии, Индии и Южной Америки.
Ja, aber wo wohnen Sie?	Да, но где вы живете?
Ich wohne in Frankreich, in England, in Indien und manchmal in Australien. (6)	Я живу во Франции, в Англии, в Индии и иногда в Австралии.
- Ja, aber Sie sind hier in Deutschland, und das ist meine Garage.	Да, но здесь вы в Германии, и это мой гараж. 
Oh, das ist Ihre Garage! Das tut mir leid. Dann suche ich ein Hotel. (N1)(7)	О, это ваш гараж! Мне (очень) жаль. Тогда я поищу гостиницу.
Haben Sie denn Geld?	(А) деньги у вас есть?
-Ja, ich habe viel Geld in Frankreich, in England und in Spanien.	Да, у меня много денег Англии и в Испании. во Франции, в
- Ja, aber verstehen Sie nicht? Sie sind in der Bundesrepublik Deutschland, und das ist meine Garage.	Да, но вы не понимаете? (Вы что, не понимаете?) Вы находитесь в Федеративной Республике Германии, и (а) это мой гараж.
- Ach ja, das ist richtig; in Deutschland habe ich leider kein Bankkonto. Wo ist der Bahnhof, bitte?	— Ах, да. К сожалению, в Германии у меня нет банковского счета. (Скажите), пожалуйста, где (тут) вокзал?
	
@!ZWÖLFTE LEKTION
ZWÖLFTE LEKTION	ДВЕНАДЦАТЫЙ УРОК
Wenn das Wetter schön ist... (1)	ЕСЛИ (БУДЕТ) ХОРОШАЯ ПОГОДА...
Wohin fahren Sie in Urlaub, Frau Herder?	Куда вы поедете в отпуск, госпожа Хердер?
 Ich fahre nach Hamburg und an die Ostsee..., wenn das Wetter schön ist...	 - Я еду (поеду) в Гамбург и на Балтику... если (будет) хорошая погода...
Kennen Sie Hamburg?	Вы знаете Гамбург?
Ja, ich kenne die Stadt gut. Meine Schwester wohnt dort.	Да, я знаю (этот) город хорошо. Моя сестра живет там.
Und Sie, Herr Huber, wohin fahren Sie?	А вы, господин Хубер, куда поедете (вы)?
Wir fahren nach Österreich in die Alpen und nach Salzburg..., wenn das Wetter schön ist... (4)	 Мы поедем в Австрию, в Альпы и в Зальцбург... если (будет) хорошая погода...
Kennen Sie schon Salzburg?	Вы (уже) знаете Зальцбург?
Ja, ich kenne es gut, aber meine Frau kennt es noch nicht.	Да, я знаю его хорошо, но моя жена его еще не знает.
Die Altstadt ist wirklich sehr schön und die Umgebung auch.	Старый город действительно очень красив, и пригород тоже.
Und Sie, Fräulein Wagner, wohin fahren Sie? 	А вы, фройляйн Вагнер, куда поедете?
Ach wissen Sie, ich fliege nach Mallorca, denn hier ist das Wetter immer so schlecht. (5)(6)	Ах, знаете, я лечу на Майорку, ведь здесь погода всегда такая плохая.
	
@!DREIZEHNTE LEKTION
DREIZEHNTE LEKTION	ТРИНАДЦАТЫЙ УРОК
Ich kann es versuchen...	Я МОГУ ПОПРОБОВАТЬ
Was machen Sie da, Herr Samson?	Что вы здесь делаете, господин Самсон? 
Ich lerne Deutsch.	Учу немецкий.
Warum lernen Sie Deutsch?	Почему вы учите немецкий?
