search out	Ubik
spiteful	
animosity	
gloat	
shear	
tremulously	
cring	
inflatable	
fabric	
palpitate	
fixture	
mawkishly	
drip-dry	
misshapen	
elongate	
jeer	
interweave	
gouge, chisel	
cleave, cleft	
bristle	
in defiance of	
writhe	
twitch	
shabby, lousy	
grubby	
scowl	
pander	
crunch	
minutiae	
nutritious, nourish	
wink	
pigtail	
gait	
braise	
lean on	
think up	
taut	
haltingly	
inexpertly	
glint	
rustle	
by degrees	
agreeble	
grumpy	
scrounge	
billfold	
sluggish	
slow-witted	
awry	
eke out	
zany	
folly	
inimitable	
pertinent	

admonition	предостережение, предупреждение, совет
airily	беспечно, беззаботно, легкомысленно, легко
ante	вносить долю, делать взнос  (~ up)
archly	игриво, лукаво хитро
argyle	a pattern composed of diamonds of various colors on a plain background,
bailiwick	сфера компетенции; знакомая область
antiquate	вытеснять старое, несовременное,  отделывать или подделывать
beanie	небольшая круглая шапочка
billow	большая волна вздыматься
blank out	оставляя свободное место; помутиться (о сознании) , потерять память
bleary	еопределённый, неотчётливый
call in	потребовать назад (долг) ; отзывать (продукцию) ; оставить сообщение по телефону
call out	выявлять, обнаруживать
careworn	измученный заботами
caveat emptor	"Будь осторожен, покупатель"
clack	трещать; щёлкать; хлестать
clang	лязгать, бренчать, звенеть
click	щёлкать
clunk	тяжёлый удар производить глухой звук
cobweb	тонкости,
come about	появляться, возникать (phrase)
come around	заходить, заезжать: менять мнение, убеждение; соглашаться
concourse	соединение, собирание
confer with	советоваться
contract in	официально обязаться принимать участие в чём-л.
crank up	 to increase it or make it more intense; start it;
creep up on	move slowly closer to them without being seen by them.
crone	старуха, старая карга
cummerbund	пояс, кушак
cutpurse	pickpocket
deft	skillful
derange	нарушать, приводить в беспорядок; выбивать из колеи, сводить с ума;
dirndl	нем. платье с узким лифом
disavowal	отрицание, опровержение дезавуирование
disburse	платить; оплачивать;
disdainful	презрительный, высокомерный,
dispense	раздавать, делить, распределять 4) выписывать (лекарства) 5) освобождать (от обязательства)
doe	самка (оленя, зайца,
dole	небольшая помощь; подачка;скупо выдавать, раздавать в скудных размерах,горе, скорбь
doleful	скорбный, печальный; меланхолический;
drab	1) тускло-коричневый; желтовато-серый 2) неинтересный, однообразный, пресный,
